timestamp,eventType,value
3.199,session_start,sessionId=20260706_230957;participantId=P00;trial=0;condition=TRADITIONAL;reason=start;elapsed=0.000
3.199,condition_active,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;reason=active;elapsed=0.000
3.199,trial_start,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;reason=start;elapsed=0.000
3.199,script_start,duration=10.600
3.205,script_start,duration=10.600
7.074,response_speaker,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=B;expected=B;isCorrect=true;ambiguous=false;responseLatency=3.875
7.116,response_direction,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=RIGHT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=3.917
12.202,response_direction,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=RIGHT;expected=;isCorrect=false;ambiguous=true;responseLatency=9.003
12.202,response_speaker,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=B;expected=;isCorrect=false;ambiguous=true;responseLatency=9.003
13.805,script_loop,duration=10.600
22.081,response_direction,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=FRONT;expected=;isCorrect=false;ambiguous=true;responseLatency=18.881
22.081,response_speaker,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=A;expected=;isCorrect=false;ambiguous=true;responseLatency=18.881
23.400,response_direction,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=FRONT;expected=FRONT;isCorrect=true;ambiguous=false;responseLatency=20.201
23.865,response_speaker,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;response=A;expected=B;isCorrect=false;ambiguous=false;responseLatency=20.665
24.406,script_loop,duration=10.600
33.201,trial_stop,sessionId=20260706_230957;participantId=P00;trial=1;condition=TRADITIONAL;reason=auto_next;elapsed=30.001
33.201,script_stop,reason=trial_stop;elapsed=8.794
33.201,condition,DIRECTION_DISTANCE
33.201,condition_active,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;reason=active;elapsed=0.000
33.201,trial_start,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;reason=start;elapsed=0.000
33.201,script_start,duration=10.600
33.205,script_start,duration=10.600
36.473,response_direction,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=RIGHT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=3.272
36.703,response_speaker,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=B;expected=B;isCorrect=true;ambiguous=false;responseLatency=3.502
41.407,response_direction,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=RIGHT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=8.206
41.825,response_speaker,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=B;expected=;isCorrect=false;ambiguous=true;responseLatency=8.624
42.394,response_direction,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=RIGHT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=9.194
42.465,response_speaker,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;response=B;expected=B;isCorrect=true;ambiguous=false;responseLatency=9.264
43.805,script_loop,duration=10.600
54.406,script_loop,duration=10.600
63.201,trial_stop,sessionId=20260706_230957;participantId=P00;trial=2;condition=DIRECTION_DISTANCE;reason=auto_next;elapsed=30.000
63.201,script_stop,reason=trial_stop;elapsed=8.795
63.201,condition,FULL_SCENE_TOKEN
63.201,condition_active,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;reason=active;elapsed=0.000
63.201,trial_start,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;reason=start;elapsed=0.000
63.201,script_start,duration=10.600
63.205,script_start,duration=10.600
65.513,response_direction,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=LEFT;expected=;isCorrect=false;ambiguous=true;responseLatency=2.312
65.513,response_speaker,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=C;expected=;isCorrect=false;ambiguous=true;responseLatency=2.312
66.858,response_direction,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=LEFT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=3.657
67.280,response_speaker,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=C;expected=B;isCorrect=false;ambiguous=false;responseLatency=4.079
73.657,response_direction,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=LEFT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=10.456
73.806,script_loop,duration=10.600
74.211,response_speaker,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=C;expected=A;isCorrect=false;ambiguous=false;responseLatency=11.010
74.931,response_speaker,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=C;expected=A;isCorrect=false;ambiguous=false;responseLatency=11.730
74.934,response_direction,sessionId=20260706_230957;participantId=P00;trial=3;condition=FULL_SCENE_TOKEN;response=LEFT;expected=FRONT;isCorrect=false;ambiguous=false;responseLatency=11.733
84.406,script_loop,duration=10.600
